comment_origin,label
완전 그림이.비주얼이.. 동양 최고다..캬..여신.엘프.남신.ㄷㄷㄷㄷ. 장동건 진짜 조각이다.캬. 그리고. 내용몰입도 짱이다. 중간에 너무 잔인해서..짜증나서 뒤로 돌려봄... 너무 슬픔..ㅜㅜ.,1
하하.. 기발한 소재와 잘 짜여진 스토리는 보는내내 긴장속으로 몰아넣는다. 굿^^,1
적절한 무술과 위트의 조화. 폴리스 스토리로 만개하는 그의 준비단계!,1
"명작이라생각된다,.",1
장근석이 일본어를 못해서 장애인 역할을 했다는데..,1
"역시 제이슨 스타뎀다운 액션 말이 필요 있겠습니까.? ㅋㅋㅋ 그리고, 이번편도 전편의 여자처럼 주근깨가 더 장난이 아니네요. ㅋㅋㅋ 감독 혹시.? 주근깨 많은 여자 좋아하나.? ㅋㅋㅋ 개인적으로 트랜스포터 시리즈중에 제일 괜찮은듯.? ㅋㅋㅋ",1
명불허전 에드워드 노튼!,1
나도 저런 인연이 생기면 좋겠다...,1
여운남는 영화네여,1
"학창시절까지 올라가는 원죄의 탐구.. 근친 타부를 탐닉한 대가로 사랑이 파멸당해던 과거때문에, 오늘 하루 대충 수습하며 살던 오대수의 시공간을 지배해서라도 똑같이 느끼도록 복수하려는 우진의 엿듣는 귀를 잊을수 없다.. 대수의 혀만큼..",1
너무 사랑스런 커플~~솔직하면서두 유쾌하구 잼있다^^,1
굿,1
전주국제영화제에서 관람했는데..국내 본격적으로 상영한다니 기대되네요~,1
근작 사무라이 영화의 희극성과 떠돌이 설정은 요짐보의 각주,1
개봉관이 적어 힘들게 봤지만 너무나도 감동이었습니다.,1
학교에서 보여줬는데 집중 해서 봣는데 다시 마오쩌둥 OOO라고 생각한다,1
실소와 함께 따뜻한 미소를 지을수 있는 작품,1
역겨움과 유쾌함이 미묘하게 믹스되어 있는 비쥬얼영화,1
잘 봤어요 ^^ 기대이상ㅎ,1
허우 샤오시엔이 사랑을 바라보는 깊이와 무게. 역시 거장 ^.^,1
출연자들 이야기가 정말 재미있었던. 강호동의 재치있는 말이 정말 좋았던,1
굳!정말 좋은 드라마임~,1
잊고 있던 명작! 드디어 찾았다!!,1
이 만화는 진짜 최고 ㅎㅎ,1
내가 선택한것은 눈을 감고 느끼는 여름햇살의 붉고 뜨거운 기억,1
굿잡~!! 우리나라는 도대체 이런 드라마 언제쯤 나올지..,1
대한민국 리얼리티네..ㅋㅋ,1
난완전재밌게봄 ㅎㅎ이거첨본지 20년가까이되는거같은데 몇번을봐도 꿀잼,1
여운의 마음이 잘전해졌던 드라마... 결말이...그래도 보는 내내 행복했던 드라마...,1
여자들이여 돈많은 나이든 남자를 조심하라..,1
정치란게 뭔지 보여줌. 다만 결말이 풍선 바람빠지듯해서 9점.,1
우리 교회선생님 남편분이시자 교회장로님인 임흥세장로님! 10점도 아깝지 않습니다,1
숨겨진 명작~ 마지막 장면은 정말 대단~,1
한국 성도라면 꼭 봐야하는 영화. 많은 부끄러운 목사님들이 봤으면 하는 영화.,1
최고..,1
"진짜 신이 존재한다면, 저런 흉악한 짓을 하도록 내버려둘리가 없다. 아직도 이런 짓꺼리가 이 지구촌에 만연해있다는게 너무 경악스럽다.",1
"와전 감동했습니다...ㅜ,.ㅜ",1
오랜만에 나에게 큰감동을 안겨준영화 ....,1
너무 귀엽고 상큼한 영화 보는 내내 웃음이 끊이질 않았던..,1
이 영화를 통해 클래식이 많은 분들에게편안하게 다가갈수 있는 기회가 되길..너무 멋진연주 잘 들었어요..!!!눈물날뻔~^^;;,1
그래도 그녀는 눈부시게 아름답더군용..,1
어릴적동네비디오가게에서빌려보고아직가끔생각나는영화.혹시나검색해보니있네요^^,1
어렸을때는 정말 지루했는데 지금에서 다시 보니 정말 관점이 달라지네요,1
별로임.. 그래두 노출씬은 십점 만점에 십점!,1
극장에서 보고 집에서도 보고 다소 자극적일 만큼 사실적이고 강렬합니다.무간도보다 재밌게봤습니다.,1
평점 왤캐 낫지.. 단순 좀비 영화 나부랭이가 아닌 연기와 스토리 거기에 오스트까지 완벽한 명작,1
괜찬ㅅ금 추천,1
드라마너무재밌어용ㅋㅋㅋ,1
보는내내 질리는 구석이 단한군데도 없었고 보면 볼수록 재밌고 즐겁게 스릴넘치게 잘봤던것같고 이민기가 너무 귀엽고 매력넘친역할인듯해서 재밌게 잘봤다,1
마지막에 데이가 지은 표정을 잊을수가 없다.. 내인생 최고의영화ㅠㅠ,1
참 독특한 영화,1
충분히10점받을만한뎅;;;;막심하게재미없진않앗는뎅,1
90년대 영화에서만 느낄수 있었던 향기,1
지금 나의 이 부족함 삶을 다시 한번 생각하게 한다. 이 정도면 되는거 아닌가 하며,1
유치하면서도 재밌다 ㅋㅋㅋ 감동주는 장면도 식상하지만 빠져들더라... 임창정은 역시!!^^,1
세 주인공의 중복되는 상황과 그들의 사랑방식 등이 뒤로 갈수록 이해가 가더라구요,1
15년전의 모이라켈리..이쁘네여..^^;; 마지막 완전 감동..ㅠㅠ,1
"11日정복자1000pop3602 12日홍빵♥₂§슛§ 13日나쁜녀석들미췬개형사 오구탁(김상중)+일당백족팡매 박웅철(마동석)간지살인청부맨 정태수(조동혁)+기억안나 이정문(박해진)초중반까지 사실 더 재밌었습니다만, 즐거웠습니다 And..?시즌2 기다릴게요☆",1
믕지가 잇어서 내가잇는거임 ㅎㅎㅎ,1
벌써 몇번을 봤는지... 봐도봐도 집중하게 되느영화!!이런영화가 또 없다는게 슬프다ㅠㅜ,1
아놔...어쩔거야...ㅠㅠ,1
아무리 시간이 지나도 잊혀지지 않는 최고의 드라마,1
옛날에 재미있게봤었던영화,1
정말 당시 수준으론 잘만들었네용...ㅋ,1
나는 모든사람들이 코믹영화라고 본 이 영화를 슬픈영화로 봤다.,1
서동love!!! ㅋㅋㅋ 서동요 너무 재밌습니다,1
어쩌다 tv에서 하는 것을 보게 되었는데 나도 모르게 빠졌었다..,1
드라마보다 더 재미있는거같아요~최태성샘 이제 안나오시나요??친근하고 유쾌했는데 아쉽네요~,1
현대인은 두 가지 부류가 있다. 자판기 속의 노인과 인간 악어.,1
지금 결말 예측했다고 잘난척하시는 분들 많은데 솔직히 이 영화는 반전이 중요한 건 아닌 것 같네요. 충분히 재밌게 봤습니다.,1
두 주인공 연기 굳! 맥라이언은 아름답고.세월의 흐름이란..다시 십여년 후에 보면 어떤 느낌일지,1
정말 재미잇음!!!!!!!!강추!!!!!!!!!!!!!!,1
존나재밋네 몇번을봐도 개잼,1
재미 스릴 여운이 있는 영화,1
영화내용에 맞게 평가점수가 딱 적당해 점수좀 줘야겠군요..,1
간만에 긴장감 주는 좋은 영화다.,1
처음으로 평점주는 영화.. 막 울면서 봤네 꺼이꺼이,1
인생보단 완성도가 떨어졌지만 슬프고 상징성이 뛰어난 영화였다 공리의 카리스마,1
그 당시로서는 너무나 놀라운 패러디였다. 평점 왜 이렇게 낮아 10점준다,1
평점깍는놈들 잘봐라 저런것이 리얼 전쟁이다 막 서든처럼 존나 뛰어다니면서 개돌하는줄아나,1
저두 완전 잼나게 봣는데 여기빼곤 평점이 완전....,1
리플리 말만 들었어도 이 모든 사단은 일어나지 않았을 텐데,1
여주인공이 완전 예쁘고 아름답습니다 게다가 멋있기까지 합니다 여자가 예쁘면서 아름다우면서 동시에 멋있을 수가 없는데 카리스마가 끝내줍니다 의상도 가죽자켓과 가죽바지를 소화해냅니다 영화 스토리는 쓰레기지만 여주인공의 미모때문에 별점 십점 드리겠읍니다,1
초조해 하지 않으면...............언젠가 반드시 ~~,1
이외로 병맛이 좀 쌘영화임 2~30대한테도 좋을듯구글에서 돈주고 받고 옆에 모아둔 레고들 쳐다보게됨아... 레고로 도시만들고 싶다,1
진짜 재밌음,1
"프로젝트는 조금 무모해보였음 ㅋ ,, 수행과정에서 토론하고 맞춰과는 과정이 좋음.",1
조카랑 봤는데 조카가 무지 좋아하네요.. 시사때는 스티커도 준것 같은데 못받아서 아쉽네요.. ㅠ 그래도 전단에색칠공부있어서 조카땜에 뭉태기로 가져와 봤네요~ㅎ 착한 고모 노릇하기가 이렇게 힘들줄이야.. ㅋ,1
이영화는 요즘은 DVD로도 구할수가 없네요. 꼭 보고싶은데..,1
"내용은 당연히 지루한 면이 있었지만, 내안에 많은걸깨닫게한 영화?ㅋㅋ",1
굿,1
스토리도 탄탄하고 이윤성과 김영주검사의 심리싸움(?)도 정말 기대하게 만들어용♥ 김나나하고 이윤성 잘 어울려><,1
2004년 내 나이 아홉 지금은 20살다시보니깐 뭔가 아련하면서도 재밋다 ㅜㅜ그때이해못했던내용도 이제이해가고 ㅜㅜㅜㅡ왜뭔가슬프지..,1
난 좋았는데..다른사람들은 다르게생각하는구나,1
최고.. 녹화 떠놨던거 볼수있어서 정말 다행..,1
너무 재미있었어요~~!!,1
재밌습니다시간가는지몰랐네요,1
정말정말정말 명작입니다.ㅠ_ㅠ 우연히 봤는데 정말 빠져들었어요!,1
와 몰입감 쩌네요 ㄷㄷㄷㄷ,1
난 재밌던데..,1
초2때 대박이였지라ㅋㅋㅋ,1
"왕,너무 감동적이다. 기억에 평생 남을 것 같아요. ^^",1
니노미야카즈나리 외모에도 반하고 연기력에도 반하고 정말 최고,1
"이런 명작 서부영화는 앞으로도 절대 나오지 못할것이다.세명의 생생한 케릭터,연기력,스토리전개,거기에 위트까지. 마지막 결투씬과 결말은 정말 너무나 멋진 명장면이 아닐수 없고 마무리다.",1
한국말은 어색하지만 신선한영화,1
다음 혁신가를 기대하며,1
오늘 개봉하고 보고 왔는데 4명의 배우의 연기력이 ㅎㄷㄷ 합니다 오랜만에 스릴러 다운 영화 봤네요!,1
이제 영화관에서는 상영안하나요..?ㅠㅠ이제 영화관을 갈수있게됬는데ㅋㅋㅠㅜ,1
어린애가 그렇게 큰 회사를 경영한다는 게 너무 웃기지만 리치 배울 게 많은 캐릭터임,1
재미없으면 중간에 처 끄시지 말하고는ㅋ,1
진심 리뷰처음다는데ㅋㅋㅋ대박ㅋㅋ병원에서 여자환자연기보고 소오름ㅋㅋ오징어ㅋㅋㅋㅋ아대박굿굿꼭보셈두번보셈,1
샬롯 갱스부르 이뻐.,1
페르난다,1
중간에 그냥 꺼버리고 싶을 만큼 힘들었던 영화. 그러나 그럴 수 없었던 영화.,1
괜찮았는데.. 일본 원작도 보고싶다,1
로맨틱은 이런 것이다 ..라고 영화는 외치고 있다..진부하고 뻔한 내용이지만 초콜릿을 입에 물고 영화를 본 듯한 기분..아일랜드의 배경 그리고 시골 이웃집 할아버지나 두 주인공의 티격태격 하는 모습들..너무나 달콤하고 사랑스런 영화다,1
"처음 본 디즈니 영화 ,아주 훌륭하다",1
몇년전에 봣엇던건데..갑자기 기억나서 찾아봐야겟당 ㅡㅜㅜ토마스생스터♥,1
이정도 코믹이면꽤괜찮은편이다평점이 넘 낮네역시네이버평점은 믿을게 못돼,1
다들 10점 주길래 장난치는 줄 알았음....,1
다시 보고 싶어요! 진심으로...추억의 드라마~,1
왜 우리는 아직도 1950년대에 머물러있나...,1
이계인 주목,1
진심 최고의드리마! 주위에서 재밌다고 추천은 많이 받았는데 막상 끌리진않더라구요 그래서 안보다가 우연히 봤는데...이틀에 걸쳐 전편을 다봤네요 한마디로 최고입니다 시간되시면 꼭 보시라고 추천해드리고싶네요~^^,1
영화 불감증은 조금이나마 씻게 해준 수작,1
다른 공간에서 살아오던 그들이 같은 공간에서 서로를 바라봤을 때.,1
정말로 사랑스러운 영화...,1
너무재밌어요 강추,1
소재가 독특하며 재미났어요~~,1
짱이요,1
정말 재밌었다. 2차대전 얘기는 언제 꺼내도 슬프다.,1
해리포터는 진짜 최고의영화다 작가가 정말 대단하다,1
평점이 왤케 낮나? 정말 잼있는데 ㅋㅋ,1
여성의 외로움과 고달픔을 따뜻하게 위로하는 영화. 칸노 미호의 최고의 연기!!,1
"훌륭함....,,,,",1
이런 특별한 작품을만나게되어 너무기쁩니다 작가가누군지 너무궁금해요,1
나도 10대이고 비슷한상황이라서 그런지 너무 와닿았어.,1
"역사왜곡/고증문제는 논외로 치고, 최고의 정치사극이 아닐까 싶음. 정치에서 선악이란 없다, 정치판에서 영원한 적은 없다란 말을 가장 완벽하게 표현해낸 드라마인듯. 모든 사건의 중심이 각각의 정치세력이 추구하는 가치관의 대립이란것에 촛점을 맞춘 걸작~",1
지금봐도 너무 재밌는 영화에요. 기분좋아지는 영화~,1
"구로자와 아키라의 잘 알져지지 않은, 숨겨진 걸작.. 정체불명의 괴이하지만, 정의로운 주인공의 캐릭터가 살아있고, 그를 둘러싼 아홉명의 어리숙한 사무라이들도 코믹하게 잘 연출하였다. 무엇보다, 후반부, 동백꽃을 소재로한 긴장감이 일품이다.",1
짜임새있는 구성에 매력적인 케릭터. 추천.,1
돈주고 본것도 아니면서 쓰레기 영화니 최악이니 하는 사람들 정말 웃긴다ㅋㅋㅋ 불법으로 다운받아본거면 아무리 재미없어도 욕할 자격이 없지 꼴에 당당하네ㅋㅋㅋ,1
최고,1
"96년경 겨울경, 시간 때울 일 있어 처음 비디오방에 혼자 가서 아무생각없이 봤다가 넋나가서 나왔던 진짜 걸작~!!!",1
잔잔하지만 깊은 여운을 남긴 영화,1
보는내내 충격적이었어요마지막 결말은 정말 최고였습니다,1
음악도 좋고 연기도 뛰어나서 감동이었슴매,1
나도 이런 사랑 해보고 싶다,1
귀여운 미니언들 덕에 아이들과 신나게 웃었습니다.,1
"치밀한 시나리오, 배우들의 연기에 좋은 점수줍니다.다만 너무 복잡하여 이해하기 힘들긴 하네요",1
"오오,,,이런영화를원했다 주옥같은 대사, 진보적가치의 믿음, 의지, 그리고 관용",1
갖고 싶다 한하유 ~~~내 이상형 ㅎㅎ 잼나게 잘 봤어요 ㅎㅎ,1
최고의 드라마를 MBC가 죽였다.. 대상을 빼았긴 안재욱과 제작진이 불쌍할따름 MB개새,1
신발을 왜주고 난리야 눈에서 땀나게시리,1
대박! 로왓 애킨슨 짱!,1
"굿바이 로빈, you're always with me",1
"쉽지 않은 소재를 가지고 정말 잘 만든 드라마, HBO 특유의 19금 드라마지만, 드라마 자체만 보면 정말 좋음, 배우들 연기들도 모두 수준급임, 다만 HBO 드라마 특유의 욕과 보기 불편한 장면들이 있긴 하지만, 그래도 볼만함. 추천",1
큰 기대 안하고 봤는데 재밌습니다. 맷 데이먼 연기 잘하네요.,1
라디오스타 짱~!!,1
정말 완벽한 캐스팅이었다.. 훈훈함과 잔잔한 느낌도 좋고.. 엔딩곡도 참 좋았다,1
진짜 잼있게 봤었는데 태어나서 처음 본 사극...,1
내가 항상 어렸을때 가졌던 의문중 하나가 예수님 안믿으면 지옥간다고 하던데... 그럼 간디나 법정스님 같은 분들은 지옥갔나 물어보면 다들 지옥불 떨어졌다고 대답했다.그럼 예수는 자신을 안믿었다고 그들을 지옥으로 보낸 무서운 신이라 생각했었지,1
만점줘야되는거아닌가요?,1
저기요변한개주기도아까우시면보지마시던가요왜여기서악플을다세요?이상하면마음속에닫고사는거지왜꼭여기와서말하세요?그방송하는사람들은얼마나슬프겠어요?,1
오랜만에 보니 ㅋ 더 재밌네요 여기 나오는 드래곤 매력이 넘쳐요~ㅎ ㅎ재밌는 영화임~강추해요~ㅋ,1
황비홍은 이소룡영화와 더불어 액션계의 대 돌풍이자 전설이다.,1
너무너무좋아!!,1
새벽에 봤는데 이거 최고의 영화.. 짱!!,1
이게 왤케 평점이낮냐 허 참,1
평점을 높일 필요가 있다. 디카프리오의 연기만 본다한들 7점대의 평점은 아니다.,1
444야 깨져라깨져~~~,1
전 완젼 재밌게 기다리며 시청중이요^^,1
사회의 한 아픈곳을 매만지는데 아프지가 않고 느낌이 좋았다. 최우식의 연기도 좋았고 부족한 부분없이 잘 만든 작품이다.,1
푸하하하~ 코미디라는 장르에 아주 충실하군..,1
"모녀지간의 사랑을 느낄수있는., 마음 따듯해지는 영화..",1
숨겨진 명작 다시 감상했다. 이미지로 말하는 감독 이명세,1
재밋네요,1
깝치게나두셈 이런거 별1개주고 3류영화에 별5개주는 사람들이니 ㅋㅋㅋ,1
"볼만하네요, 좀 부실한 면이 없지 않아 있지만...",1
대사나 분위기나 연출이나 주연들의 연기..모두 하나 빠짐없이 흥미로웠습니다. 금융권이야기라서 어렵다고 생각할법하지만 전혀몰라도 상관없고 20대이상이라면 충분히 어느부분에서나 교훈을 얻어갈만만 내용이네요. 오랜만에 재밌게본 영화입니다,1
이게 한시간 반이였다니,1
어퓨굿맨 이후 가장 인상적인 법정 영화.아니 어퓨굿맨 그 이상 이었다.,1
꼭 끝까지 보십시오.. 좋습니다 Good!,1
"도전을 했고 그 도전이 좌절된 사람들이라면 대다수가 공감 가능한 다큐. 실패한 것에 대한 아쉬움은 남지만, 후회는 없다.",1
집중해서 재밌게 본 영화 !!!,1
개명작! 너무 재밌음. 독고영재씨 악역연기 끝내주네요 ㅋㅋㅋㅋ,1
별다섯개! 세번 봐야할 영화.,1
생각보다 재밌더라구요^^ 애들이 재밌어했어요 ㅋㅋㅋ덕분에 좋은 영화 보고 왔습니다!,1
^^,1
나름 볼만하고 스릴!,1
"원작을 안 읽어서인지 처음 기대한 건 유카와와 이시가미의 대결구도였다. 기대했던 건 적어서 조금 아쉬웠다. 하지만 이런 기대를 잊게 만드는 내용, 몰입도 그리고 연기력은 보는 내내 소름을 돋게 만들었다. 츠츠미 신이치의 팬이 될 것 같다.",1
개꿀잼이다. 원래 극장판이란 극장판은 집컴으로 다 보고가는데도 이건 재밌다. 다시봐도 재밌음. 또보라고 하면 또봐도 됨. 볼때마다 흥미진진하고 마지막에 유명한이 추리하는 장면 진짜 잘나옴.,1
생각보다는 평점이 낮네...,1
마지막에 반전이 있었다면 엽기작이 될수도..,1
용기를 지닌 영화.,1
난재밋게봤는뎅.... 봉태규씨좋아용,1
왜 당시 정말 짱인 영화였다 !!!,1
재밌어요,1
시대를 아우르는 여자의 감정선이 돋보이는 걸작,1
내년빅쇼는진짜뛰어야지 이거보니뛰고싶은마음이더후끈후끈 딱한번만더땡기고가 ㅇ ㅘ!,1
재밌어요~ 추천!!,1
인종차별에 대한 또다른 보고서,1
포레스트검프만큼좋아하는영화,1
정말 작품성 있으면서 재밌는 영화 오랜만에 보게 되었습니다.감사합니다.,1
최고의 영화다 정말 마지막에 가슴을 울리네....와 ....,1
말이 필요없는 드라마...모든걸 다 갖춘 드라마..한마디로 퍼펙트한 드라마..,1
가족들이 보기에도 감동도 있었고 신났다아~,1
난 1못지않게 2도 재밌게봤던거 같은데..,1
나도 감정이 없어지는 약 먹고 싶네...,1
고전적 잔인 코믹 명작 영화,1
지금이라서 나인을 봐서 다행이에요. ㅠㅠ 나중에 다시 정주행할게요 ㅠㅠ! 작가님천재신거같아요 ㅠㅠ,1
셋이같이보다둘은울었더랬지. 스토리자체보다 대사와영상과음악이 눈물샘을자극한작품,1
스릴쩔어 개잼있음,1
아 정말 재미있어요 영화 내내 계속 웃었어요~^^,1
독도를 사랑하자,1
청춘의 사랑과 방황 그리고... 선택,1
댓글 보고 도전~ 영화가 시작하고 뭐 이딴 상 쓰레기중에 쓰레기 영화가 있나 했는데....이럴수가 나름 대만족했슴 ~ 진짜 이거 리메이크됬음 좋겠다,1
"""우리애기첫영화 너무너무 잘선택한거같아요""""""""ㅎ굳""",1
학교 동아리 시간에 선생님께서 이 영화를 보여주셨는데 그 날 머리속에 OST가 계속 생각나서 미치는 줄 알았어요 그래서 지금까지 몇달 동안 계속 흥얼거리는 중입니다~ 제가 들은 OST중에 최고인듯해요. 진심으로요,1
나는 희망한다. 나의 꿈을... 영화는 나에게 알게해줬다! 나의 마음속에 담겨져 있는 나의 마음을...,1
가슴이 먹먹해서 어쩔 바를 모르겠습니다. 많은 사람들이 보고 궁금해하고 이야기되었으면 좋겠습니다.,1
"홍림과 공민왕의 사랑, 노국공주와의 사랑이 너무 아름다운 영화였습니다",1
개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이렇게 빵터뜨린적 드물데 정말 진심 재밌음 챔피언ㅋㅋㅋㅋ아놔 정콤비짱!!♥,1
코믹하고 슬프고 감동있고 이준의 연기에 몰입하고 빠져들었어요 말 그대로 하균신 역시 기대를저버리지않네요 장나라와 박예진도 짱짱이고요 완벽한드라마네요 이준 신하균은 상 받았으면좋겠네요 한회도 빠뜨리지 않고 본방사수중이에요 진짜 빠져들어요 이준화이팅♥♥♥,1
사랑은 그런거다... 예외없이 ... 느껴본자는 알겠지.. 이영화의 가치를...,1
"완전재밌구만,,,유역비이쁨",1
헐리웃 블록버스터보다 유쾌하고 통괘하고 심오 오랜만에 너무진지하게 영화봣음.,1
정말흥미진진긴장감이넘쳐요 뿌나는 보다 말았는데 이런류의드라마는오래보기지루해서..근데캐스팅이한목한듯 이제훈 한석규 김유정 박은빈 권해효 이원종 김창완 박효주 김민종 서준영 장현성 최원영!!완전격하게아끼는연기신들만나오니그재미가두배인듯해요♥,1
뜨든뜨든뜨든뜨든 ;;,1
일본배우가 주연인게 싫다고 징징대지좀마라 아주 지겹네 반일국뽕놈들,1
어렸을때 봤떤 작품으로 아직도 남네요 평점 낮은사람들은 그시절 영화를 안봐서 ㅉㅉ,1
정말 여운이 긴~~ 영화~! 강추~!,1
최고의 엔딩씬,1
명작!,1
러브레터란 제목의 영화는 다 괜챦구나...이것도 좋아요~~,1
완전 유치찬란하기 짝이 없지만 웃기긴 하네유. 해피엔딩이긴 하네유. 오지명 감독이네유. ㅎㅎ,1
"배우들의 뛰어난 연기와 현실감있는 내용이 몰입도를 높이고, 세밀하고 짜임새있는 구성과 연출이 돋보인다. 이 정도 영화면 할리우드 영화 부럽지 않을 법한데, 평점이 낮은게 이상할 정도.",1
모든걸 내려 놓으라고 말해주는 영화다.,1
"단두대로 뭍히기 전에 알랭들롱 눈 질끈감는다, 얼굴만 잘생긴게 아니라 연기도 섬세해서 놀랬다",1
ksgome님 저도 간만에 보고 주인공 니콜라스케이지라고 생각했음ㅋ지금 생각해보니 얼굴 다른데ㅋㅋ중학교 다닐때 보고 진자 올만에 보네요ㅎ,1
최근에 본 영화중 최고다...행복하지만 긴 여운이 남는다,1
너부리 최고야...때려줄꺼야...,1
이 영화는 진지빨면서 보면 안된다. 생각없이 걍 흘러가는대로 멍하니 보면 꽤 재미가 쏠쏠함~ 마지막즈음 귀신이 여주의 말빨에 밀려서 빡치고 뭐에 맞아서 아파할때 완전 웃겼음ㅋㅋㅋ,1
단순함에서 오는 쾌감의 정점,1
재미뜸,1
한일 젊은이들의 짧은 만남.. 그러나 긴 여운이 남는 영화...,1
최고의 코미디!!,1
배우들이 하나같이 다 매력적인 영화,1
진짜 최고영화 몇십번도 더본영화에요 최고입니다,1
메리포핀스.. 정말 좋아하는 영화다. 나의 추억을 떠올리게 만드는 가슴 따뜻하고 뭉클한 영화다.,1
한마디로 굿,1
괜찮게 봣엇는데 ; 왜 재미없다고 그러는지,1
"""제목 바꾸고 개봉했네!? """"신이맺어준커플"""" 진짜 잼있음...""",1
골디 혼의 옛 모습..,1
5공시절 어린나이에 충격적으로 본 작품..,1
첸카이커 감독이 이보다 더 한 영화를 만들 수 있을까? 정말 데이역할의 장국영 연기는 최고를 넘어서 환상적이다.마지막 장면의 장국영 눈빛은 잊혀지지가 않는다...,1
홍상수의 냄새가...거기 오윤홍까지...쓸쓸하게 만드는 영화,1
최고 완전재미 10번봅니다,1
울고 싶지만 웃는 남자ㅠㅠ 재밌게 잘 본 영화,1
한번더보고싶은영화 너무좋음,1
25년이 지난 지금 이 명작을 이제야 보다니!!! 지금 봐도 전혀 촌스럽지 않은 한국 액션영화계의 교과서!!! 최고로 잘 만들었다!!!,1
20살때 이영화보고 23살인현재까지 매주한번씩은보게되는영화.이영화는볼때마다새롭다,1
오스트레일리아인이 오스트레일리아에서 찍은 오스트리일리아영화 오스트레일리아 너무 달달하고 좋다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ휴잭맨ㅠㅠㅠㅠ,1
내생애제일슬프고많이울었던것같다. 그냥울고싶어서슬픈영화를검색하니 세상에서가장아름다운이별이1위여서보게되었는데 진심 너무울엇다 두루마리휴지반을쓰고코가막혀서 몇번을풀었는지모르겠다.가족한테엄마한테잘해야겠다.그리고모두건강하자,1
사회적 사각지대에서 성공하기까지의 모습이 감동적임,1
1점주는 OOO들은 흰둥이똥구멍이나 핧으라지. 쓰레기들..,1
CGV 사이트에서는 별점 참가자 7500명 쯤인데 평점이 7.5임...역시 네이버 영화 평점 못 믿겠다....난 재밋게 봤습니다.,1
결말이 인상적이다. 고수 수난시대,1
방금 TV로 보게 되었는대.. ost가 너무 좋네요.. 영화도 아름답구요,1
10점 받아도 되는 영환데 ? 내가 본 SF중에 제일 멋있다.. 재밌어. 그리고 나는 오늘부로 나무를 분양받으러 ~ ♬,1
80년대 로맨틱 코미디.,1
역시 훌륭한 선택. 정말 최고로 로맨틱한 영화,1
로버트 드니로 야구방망이로 부하죽일때 ㄷㄷㄷ,1
오랫만에 진짜 잘만든 영화 한편 본듯. 그냥 고민하지말고 봐도 되는 영화,1
다시보게 되는 영화,1
등장인물도 스토리도 너무너무 재미있고 좋아요 본방사수는못해도 주말에재방볼때 정말너무행복해요 유일하게 챙겨보는 프로그램임ㅠㅠ힐링되요진짜... 아직 70회정도 더남았다는것도 너무행복해요 안보신분들 꼭!!! 보시길바랍니다 진짜 사랑해요감자별♥ 화이팅!!,1
참좋다 그당시에 사랑관에 대한 희극적인 표현으로 무척 잘살린 내용이어서~그 당시엔 획기적인 연출기법이라 생각하고 봤던 기억이 나네~,1
짱짱 진짜멋잇어요,1
아주 어릴때 봤을땐 오묘한 기분이 들고 완벽히 이해는 안됬지만 재밌게 느꼈고 좀 커서 다시보니까 완전감동 ㅜㅜㅜ,1
재밌겠다능,1
"18살에 볼때 다르고, 22살에 볼때 다르고, 24살에 볼때 다르더이다. 괜찮은 영화",1
완전 대박이고 새로운사도 그리고 2탄 나왔으면 하는바람이..,1
폴리스스토리 시리즈는 1부터 뉴까지 버릴께 하나도 없음.. 최고.,1
